,AAPL,MSFT,NVDA
03/02/2017,29.88561058,57.71152878,2.81761384
06/02/2017,30.16576195,57.67527771,2.889791489
07/02/2017,30.45284843,57.48495483,2.934625149
08/02/2017,30.57093811,57.40337753,2.921814919
09/02/2017,30.79184723,58.05590439,2.866882324
10/02/2017,30.72207832,58.00152588,2.798892498
13/02/2017,30.99414825,58.65404892,2.669811487
14/02/2017,31.39644051,58.87288284,2.679665804
15/02/2017,31.510355,58.83640671,2.685084581
16/02/2017,31.47316933,58.82727051,2.641976118
17/02/2017,31.55919647,58.91845703,2.641482353
21/02/2017,31.78707695,58.79993057,2.736076117
22/02/2017,31.88242149,58.68140411,2.731884003
23/02/2017,31.74754906,58.91845703,2.47857523
24/02/2017,31.77777863,58.91845703,2.502500057
27/02/2017,31.84055519,58.56288528,2.57526207
28/02/2017,31.85452271,58.33493042,2.50299263
01/03/2017,32.50559998,59.2102356,2.535304785
02/03/2017,32.312603,58.36228943,2.441823721
03/03/2017,32.5032692,58.58110046,2.427765846
06/03/2017,32.40096664,58.59934235,2.409019947
07/03/2017,32.4428215,58.71787262,2.435410738
08/03/2017,32.32188797,59.25580215,2.430971861
09/03/2017,32.24748611,59.0187645,2.430478573
10/03/2017,32.35446167,59.20110703,2.444783926
13/03/2017,32.36841202,59.00051498,2.512120008
14/03/2017,32.31957626,58.72699356,2.510393143
15/03/2017,32.66140366,59.03700638,2.529384613
16/03/2017,32.71487808,58.93669891,2.560462952
17/03/2017,32.55211258,59.14640808,2.616205931
20/03/2017,32.89393616,59.20110703,2.699572802
